"","x"
"ENSG00000214491","SEC14L6"
"ENSG00000214708","not available"
"ENSG00000215595","C20orf202"
"ENSG00000223573","TINCR"
"ENSG00000224397","PELATON"
"ENSG00000225342","LRRK2-DT"
"ENSG00000225383","SFTA1P"
"ENSG00000227036","LINC00511"
"ENSG00000227051","C14orf132"
"ENSG00000227544","not available"
"ENSG00000234281","LANCL1-AS1"
"ENSG00000235387","SPAAR"
"ENSG00000236304","not available"
"ENSG00000237517","DGCR5"
"ENSG00000238018","not available"
"ENSG00000241158","ADAMTS9-AS1"
"ENSG00000241644","INMT"
"ENSG00000242715","CCDC169"
"ENSG00000243566","UPK3B"
"ENSG00000244734","HBB"
"ENSG00000253755","IGHGP"
"ENSG00000254726","MEX3A"
"ENSG00000256612","CYP2B7P"
"ENSG00000257894","not available"
"ENSG00000259153","not available"
"ENSG00000261373","VPS9D1-AS1"
"ENSG00000262406","MMP12"
"ENSG00000263155","MYZAP"
"ENSG00000266524","GDF10"
"ENSG00000266964","FXYD1"
"ENSG00000268388","FENDRR"
"ENSG00000271447","MMP28"
"ENSG00000272405","not available"
"ENSG00000272620","AFAP1-AS1"
"ENSG00000274736","CCL23"
"ENSG00000276043","UHRF1"
"ENSG00000276170","not available"
"ENSG00000276644","DACH1"
"ENSG00000277494","GPIHBP1"
"ENSG00000277758","not available"
"ENSG00000279662","not available"
